__lmer_samples__,expected,raw_samples,rel_pupil,rts,subID
60,expected,30,0.23781754270412964,-0.16747769667472312,47
60,expected,60,0.1551531014871847,-212.16747769667472,47
60,expected,60,-0.0013990018967048544,5.832522303325277,47
60,unexpected,20,0.024289367635542635,33.83252230332528,47
60,expected,60,-0.06736569094128173,-1.1674776966747231,47
60,expected,20,0.23579249034721972,-171.16747769667472,47
60,expected,30,0.04626932858174641,-53.16747769667472,47
60,unexpected,60,0.03484406500585422,-174.16747769667472,47
60,unexpected,60,0.00432524406513819,-98.16747769667472,47
60,expected,20,0.0037012108218573924,38.83252230332528,47
60,expected,60,0.10131126130220988,246.83252230332528,47
60,expected,20,0.2057755653142495,247.83252230332528,47
60,unexpected,30,0.14544821075361258,386.8325223033253,47
60,expected,60,0.04036669811992266,42.83252230332528,47
60,expected,60,-0.057068518910429855,186.83252230332528,47
60,expected,20,0.07351659993097157,52.83252230332528,47
60,expected,60,-0.11047645581989451,-110.16747769667472,47
60,expected,20,-0.07423295799407148,-31.167477696674723,47
60,expected,30,0.1770151113961877,192.83252230332528,47
60,unexpected,60,0.1058214036882005,229.83252230332528,47
60,expected,60,0.08136790637369704,-110.16747769667472,47
60,expected,20,-0.06473711724441614,-157.16747769667472,47
60,expected,60,0.13461586438912346,205.83252230332528,47
60,expected,20,0.08704777645878155,-176.16747769667472,47
60,unexpected,30,0.018668403635678964,-11.167477696674723,47
60,expected,60,0.11847874467902808,-209.16747769667472,47
60,unexpected,60,0.11580945480576106,-13.167477696674723,47
60,expected,20,0.03228779309373166,30.832522303325277,47
60,expected,60,-0.024460089502396885,198.83252230332528,47
60,unexpected,20,0.02632857547056906,-37.16747769667472,47
60,expected,30,0.051209841278376,-94.16747769667472,47
60,expected,60,0.06096707254370633,208.83252230332528,47
60,unexpected,60,0.17432822267868855,-97.16747769667472,47
60,expected,20,0.1484009012022776,-172.16747769667472,47
60,expected,60,0.10178174240360302,165.83252230332528,47
60,expected,20,-0.10255925469591362,-211.16747769667472,47
60,unexpected,30,0.16169140030686405,-146.16747769667472,47
60,expected,60,0.13079082923205892,317.8325223033253,47
60,expected,60,-0.13861803716675958,-130.16747769667472,47
60,expected,20,0.05982834568198627,27.832522303325277,47
60,expected,60,-0.1335029420264251,-183.16747769667472,47
60,expected,20,0.22876501133265575,-159.16747769667472,47
60,expected,30,0.011636503349672589,-58.16747769667472,47
60,expected,60,0.11156558794220665,-67.16747769667472,47
60,expected,60,-0.13812635594453485,19.832522303325277,47
60,unexpected,20,0.23526136773957368,68.83252230332528,47
60,expected,60,0.07147874352660186,1081.8325223033253,47
60,expected,20,-0.11180963038840042,-16.167477696674723,47
60,expected,30,0.019199474264330618,24.832522303325277,47
60,expected,60,0.03681844595268595,-186.16747769667472,47
60,expected,60,0.033484970909728906,-123.16747769667472,47
60,expected,20,0.09223118138853895,-99.16747769667472,47
60,expected,60,0.15672823977370998,74.83252230332528,47
60,expected,20,-0.1203638919126877,-45.16747769667472,47
60,expected,30,-0.0320639166732827,-22.167477696674723,47
60,expected,60,0.04748984019417755,13.832522303325277,47
60,expected,60,0.1418434502036728,-13.167477696674723,47
60,expected,20,-0.07322579242432732,-110.16747769667472,47
60,unexpected,60,0.06672067085727122,33.83252230332528,47
60,expected,20,0.17668980815323793,-1.1674776966747231,47
60,unexpected,30,0.1058593959050758,-40.16747769667472,47
60,expected,60,0.04489898238368299,37.83252230332528,47
60,expected,60,-0.09427474547276145,-80.16747769667472,47
60,unexpected,20,0.24859747720310493,-83.16747769667472,47
60,expected,60,-0.04042228619493251,-90.16747769667472,47
60,expected,20,0.07822910468753656,-29.167477696674723,47
60,expected,30,0.025165316224390645,-55.16747769667472,47
60,expected,60,-0.17980940773371432,-121.16747769667472,47
60,expected,60,0.2128062529310744,203.83252230332528,47
60,expected,20,0.11631625501814975,-188.16747769667472,47
60,unexpected,60,-0.08139609971582673,-90.16747769667472,47
60,expected,20,0.2807773896256449,484.8325223033253,47
60,expected,30,-0.06293088887472105,-137.16747769667472,47
60,expected,60,0.02551729215878007,-34.16747769667472,47
60,expected,60,-0.18010898107658374,-57.16747769667472,47
60,expected,20,0.118133667589058,0.8325223033252769,47
60,expected,60,-0.1374936850303357,-98.16747769667472,47
60,expected,20,0.22976393519100796,-19.167477696674723,47
60,expected,30,0.009524082756578567,267.8325223033253,47
60,expected,60,0.2022165306967248,-188.16747769667472,47
60,unexpected,60,-0.036398758671680874,-69.16747769667472,47
60,expected,20,-0.09979904857342055,-20.167477696674723,47
60,expected,60,0.16003262096523532,-0.16747769667472312,47
60,expected,20,-0.13436360281335752,-160.16747769667472,47
60,unexpected,30,0.11746835953322536,14.832522303325277,47
60,expected,60,-0.05103649243983135,98.83252230332528,47
60,expected,60,0.044578494174692465,-77.16747769667472,47
60,expected,20,-0.03855616273411759,140.83252230332528,47
60,expected,60,-0.05805472601196966,36.83252230332528,47
60,expected,20,0.11684684651994356,-67.16747769667472,47
60,expected,30,0.08834336603232655,0.8325223033252769,47
60,expected,60,-0.13386556224323823,15.832522303325277,47
60,expected,60,-0.05582537116602819,-29.167477696674723,47
60,unexpected,20,0.21324281250219404,-205.16747769667472,47
60,expected,60,-0.24716978473401058,-56.16747769667472,47
60,unexpected,20,0.12019742094581312,-41.16747769667472,47
60,expected,30,-0.14238596262482517,143.83252230332528,47
60,expected,60,0.1354384778213809,-65.16747769667472,47
60,expected,60,0.01860604439630511,111.83252230332528,47
60,expected,20,-0.17713380028715647,-0.16747769667472312,47
60,expected,60,0.3088055375093052,-55.16747769667472,47
60,expected,20,-0.1288349765870483,-127.16747769667472,47
60,expected,30,0.2202301469865934,65.83252230332528,47
60,expected,60,0.21255536659752075,215.83252230332528,47
60,unexpected,60,-0.26667455176971133,66.83252230332528,47
60,expected,20,0.24292895949826732,-16.167477696674723,47
60,expected,60,-0.24148324306441654,-72.16747769667472,47
60,expected,20,0.17710224295276364,52.83252230332528,47
60,expected,30,-0.09471274354139356,-190.16747769667472,47
60,unexpected,60,-0.0017321279277355828,-39.16747769667472,47
60,expected,60,0.05461396527758748,-169.16747769667472,47
60,expected,20,-0.0159604371025313,309.8325223033253,47
60,expected,60,0.13069072406651894,30.832522303325277,47
60,expected,20,-0.09557295580905541,-57.16747769667472,47
60,expected,30,0.020685330496249897,-49.16747769667472,47
60,expected,60,0.1664135923483935,91.83252230332528,47
60,expected,60,-0.02364261840989825,-152.16747769667472,47
60,expected,20,-0.08188111935860709,-32.16747769667472,47
60,expected,60,0.10831964799539939,-192.16747769667472,47
60,expected,20,-0.05451243485410786,11.832522303325277,47
60,unexpected,30,-0.23939843348564865,-127.16747769667472,47
60,expected,60,0.39387831168113163,-127.16747769667472,47
60,expected,60,-0.46263650672577905,-113.16747769667472,47
60,expected,20,0.3207517108001121,-150.16747769667472,47
60,expected,60,-0.13863205287093364,38.83252230332528,47
60,unexpected,20,-0.06784034892382103,-25.167477696674723,47
60,expected,30,-0.009262345272070061,-68.16747769667472,47
60,expected,60,0.012681146248751319,-99.16747769667472,47
60,expected,60,-0.07049608791089627,-78.16747769667472,47
60,expected,20,0.0035729158026608586,-237.16747769667472,47
60,expected,60,0.13797537944040306,75.83252230332528,47
60,expected,20,-0.2718692026841788,-148.16747769667472,47
60,expected,30,0.1504935385508112,-146.16747769667472,47
60,expected,60,-0.04559660146515321,-158.16747769667472,47
60,expected,60,-0.01050057417704986,-207.16747769667472,47
60,unexpected,20,-0.06546372155192795,-221.16747769667472,47
60,expected,60,0.02863201397668953,262.8325223033253,47
60,unexpected,20,-0.13362334627371664,-129.16747769667472,47
60,expected,30,0.0012500570963622337,-61.16747769667472,47
60,expected,60,-0.19271151313751958,-9.167477696674723,47
60,expected,60,0.030671311700405823,-45.16747769667472,47
60,unexpected,20,-0.027474639694074644,146.83252230332528,47
60,expected,60,-0.06750350541686653,-124.16747769667472,47
60,expected,20,0.23357885375192827,59.83252230332528,47
60,expected,30,-0.08135827966415374,-163.16747769667472,47
60,unexpected,60,0.06300344463173743,-96.16747769667472,47
60,expected,60,-0.04715744396113401,-81.16747769667472,47
60,expected,20,-0.11993842460294513,56.83252230332528,47
60,expected,60,-0.009639015704076038,-50.16747769667472,47
60,expected,20,0.27100783593336375,-22.167477696674723,47
60,expected,30,-0.03163071036541556,-26.167477696674723,47
60,expected,60,-0.1180957674313016,-90.16747769667472,47
60,expected,60,0.26895368853231943,589.8325223033253,47
60,expected,20,-0.0605831264335774,-169.16747769667472,47
60,expected,60,-0.13941839433393372,-116.16747769667472,47
60,unexpected,20,-0.008573396922053477,155.83252230332528,47
60,expected,30,0.26365744830225213,-129.16747769667472,47
60,unexpected,60,-0.16328289563739756,-40.16747769667472,47
60,expected,60,0.1427285155884243,84.83252230332528,47
60,expected,20,0.016685650761433912,-69.16747769667472,47
60,expected,60,-0.10878044013259394,-125.16747769667472,47
60,expected,20,0.07618525112984705,70.83252230332528,47
60,expected,30,0.15573508582368367,-26.167477696674723,47
60,expected,60,0.02795234101025672,-196.16747769667472,47
60,expected,60,-0.12515674813751074,-248.16747769667472,47
60,expected,20,0.13891773866643473,-240.16747769667472,47
60,expected,60,-0.07898066887522148,55.83252230332528,47
60,unexpected,20,0.011484482077297553,-15.167477696674723,47
60,expected,30,0.057123065915308004,-77.16747769667472,47
60,unexpected,60,0.13022953064633577,255.83252230332528,47
60,expected,60,-0.04617356896954452,-140.16747769667472,47
